units_layer_1,dropout_layer_1,units_layer_2,dropout_layer_2,units_layer_3,dropout_layer_3,dense_units,optimizer,stock
128,0.2,128,0.2,96,0.1,16,rmsprop,AAPL
128,0.2,128,0.2,96,0.1,16,rmsprop,AMZN
128,0.2,128,0.2,96,0.1,16,rmsprop,AVGO
128,0.2,128,0.2,96,0.1,16,rmsprop,COST
128,0.2,128,0.2,96,0.1,16,rmsprop,GOOG
128,0.2,128,0.2,96,0.1,16,rmsprop,GOOGL
128,0.2,128,0.2,96,0.1,16,rmsprop,HD
128,0.2,128,0.2,96,0.1,16,rmsprop,JPM
128,0.2,128,0.2,96,0.1,16,rmsprop,LLY
128,0.2,128,0.2,96,0.1,16,rmsprop,MA
128,0.2,128,0.2,96,0.1,16,rmsprop,META
128,0.2,128,0.2,96,0.1,16,rmsprop,MSFT
128,0.2,128,0.2,96,0.1,16,rmsprop,NVDA
128,0.2,128,0.2,96,0.1,16,rmsprop,ORCL
128,0.2,128,0.2,96,0.1,16,rmsprop,PG
128,0.2,128,0.2,96,0.1,16,rmsprop,TSLA
128,0.2,128,0.2,96,0.1,16,rmsprop,UNH
128,0.2,128,0.2,96,0.1,16,rmsprop,V
128,0.2,128,0.2,96,0.1,16,rmsprop,WMT
128,0.2,128,0.2,96,0.1,16,rmsprop,XOM
